title,artist,link
Face on Water (2018),Paul Furneaux,./record/21646?highlight=*:*
El Portento (1951),Edward A. Gage or Valerie A. Cockburn (Gage),./record/22676?highlight=*:*
South Frieze of the Parthenon Frieze (1836-1837),NA,./record/20694?highlight=*:*
1.(a) Meccarama Serif (1972),Anthony Benjamin,./record/21668?highlight=*:*
Smocking diagrams,Unknown,./record/102710?highlight=*:*
Illegible title,Thora Clyne,./record/112308?highlight=*:*
Florence (JAN 1956),John P Busby,./record/21382?highlight=*:*
Head Drawing (1969),John Stewart,./record/22487?highlight=*:*
Untitled (Unknown),Kirkland Main,./record/21938?highlight=*:*
Portrait of a Seated Woman (1957),Sheena McEwan,./record/21008?highlight=*:*
Unclassified (2003),Charles E. Milson,./record/99933?highlight=*:*
Unknown (1950),Unknown,./record/53506?highlight=*:*
White Matter (2013),Marissa Stoffer,./record/47446?highlight=*:*
Portrait of a Woman (1964),Peter Pretsell,./record/21421?highlight=*:*
Espresso Saucer (1920s),Emma Gillies,./record/53688?highlight=*:*
Unknown (1957),Andrew P. W. Conkie,./record/50522?highlight=*:*
Cushendun (08 APR 1968),Unknown,./record/21496?highlight=*:*
Portrait of a Woman (1951),Madelaine Philip,./record/21233?highlight=*:*
Side Plate,Emma Gillies,./record/53617?highlight=*:*
Tombstone 1693 (1989-1990),Aline McLeod,./record/21470?highlight=*:*
Siena (1956),John P Busby,./record/53502?highlight=*:*
Discobolus (without head),Unknown,./record/20591?highlight=*:*
South Frieze of the Parthenon Frieze (1836-1837),NA,./record/20691?highlight=*:*
Wall hanging (1939),Unknown,./record/100009?highlight=*:*
Study for completed image (1960),Vivien Alexander,./record/50624?highlight=*:*
Riders from West Frieze of the Parthenon (1836-1837),NA,./record/20663?highlight=*:*
Untitled - Shoes and a Polka Dot Blouse (1983-1984),David Douglas,./record/99432?highlight=*:*
Seated Male Nude (1951),James P W Syme,./record/20837?highlight=*:*
Study for Hugh McDiarmid Memorial (Circa 1986),Jake Harvey,./record/21810?highlight=*:*
Fidelity (Unknown),Alan T. Johnston,./record/21805?highlight=*:*
Seated Goddesses from the Parthenon (east pediment) (Pre 1830),Westmacott,./record/20630?highlight=*:*
Hand of God (1989-1991),Paul Rooney,./record/21873?highlight=*:*
Male Portrait (1949),Sheena Page,./record/20773?highlight=*:*
Untitled (Unknown),Andrew Parkinson,./record/21632?highlight=*:*
Jug (1920s),Emma Gillies,./record/122133?highlight=*:*
Unknown,Unknown,./record/53581?highlight=*:*
Unknown (1950),Valerie A. Cockburn (Gage),./record/50552?highlight=*:*
Untitled (1964),Carole Danielson,./record/22483?highlight=*:*
Camel (Unknown),Margaret Clyde,./record/21692?highlight=*:*
Unknown,Britton,./record/50374?highlight=*:*
Seated Female Nude (1953),Laura Nye,./record/21117?highlight=*:*
Portrait of a Woman (1952),Ruth M. L. Walker,./record/123336?highlight=*:*
"Circo Togni, Ravenna (1957)",Peter McGinn,./record/21115?highlight=*:*
Seated Male Nude (1955),Rosemary Gray,./record/21188?highlight=*:*
Seated Female Nude (1959),William Mackay,./record/21162?highlight=*:*
Portrait of a Girl (1949),Leszek T. Muszynski,./record/22682?highlight=*:*
Edinburgh Old Town Cityscape (1950),Alastair Flattely,./record/21375?highlight=*:*
Lamb (1920s),Emma Gillies,./record/122126?highlight=*:*
Sugar Bowl,Emma Gillies,./record/53724?highlight=*:*
Standing Male Nude leaning on a Plinth (1959),George MacIntosh,./record/20885?highlight=*:*
Unknown (1952),Leonard I. H. Gray,./record/53488?highlight=*:*
Bust of Queen Nefertiti (White) (Unknown),Unknown,./record/20622?highlight=*:*
"Still Life with Bottles, Vases and Striped Drape (Circa 1957)",Andrew P. W. Conkie,./record/122862?highlight=*:*
Portrait of a Man (1966),George Donald,./record/21255?highlight=*:*
Portrait of Man in a Cap (1950),Thomas Murray,./record/21073?highlight=*:*
Angel of Lude,Unknown,./record/20551?highlight=*:*
Unknown (APR 1964),Jean Fayrer,./record/50498?highlight=*:*
Untitled - Reclining Nude Female (1970-1971),James McGlade,./record/99440?highlight=*:*
Unknown (1950),Thomas Clapperton,./record/50561?highlight=*:*
Untitled (2007),Regine Osbakk,./record/99896?highlight=*:*
Costume Study (1946),Alexander Cree,./record/50542?highlight=*:*
Abstract,V. Constant,./record/111446?highlight=*:*
Unknown (1987),Robert Runas(?),./record/21950?highlight=*:*
Seated Female Nude (1953),George Hamilton,./record/20931?highlight=*:*
Portrait of a Young Man (1950),Joseph Maxwell,./record/21060?highlight=*:*
Rothering (1947),Dorothy M. Peach,./record/21739?highlight=*:*
Untitled (1985),Jason Praete,./record/21587?highlight=*:*
"Cast Study of 'Castor and Pollux', Roman Copy of Greek Original (1952)",Alastair Fairweather,./record/50421?highlight=*:*
Untitled (Unknown),Unknown,./record/99905?highlight=*:*
One mould and five wax portrait miniatures (Post 1860),Unknown,./record/20614?highlight=*:*
Untitled (Unknown),Unknown,./record/99920?highlight=*:*
Portrait of a Bearded Man (1950s),J Guthrie,./record/20975?highlight=*:*
Untitled (Unknown),Unknown,./record/21820?highlight=*:*
Unknown (Circa 1890),Unknown,./record/50461?highlight=*:*
Dispersion (1991),Alastair Clark,./record/21911?highlight=*:*
Natural Geometry series (a) (2015),Robin Crawford,./record/53771?highlight=*:*
Whale,Bridget Steed,./record/93374?highlight=*:*
Charioteers and horses from North Frieze of the Parthenon (1836-1837),NA,./record/20734?highlight=*:*
Railings in a Landscape (1962),James T Carlyle,./record/122850?highlight=*:*
Herrings,Unknown,./record/22670?highlight=*:*
Standing Male Nude,Jessie May Stirling,./record/20834?highlight=*:*
Princess Margaret tomb from Lincluden Collegiate Church (1912),Joseph Cavagnari,./record/20569?highlight=*:*
Untitled (1961),Sheila M Gilchrist,./record/99377?highlight=*:*
Collection of Botanical Illustration Days in One,Sylvia Mackiewicz,./record/21560?highlight=*:*
Untitled (Unknown),Paul Gladston,./record/21706?highlight=*:*
Unknown (1962),Kathleen Russell,./record/50503?highlight=*:*
Seated Figures and Flight of Stairs (1968),Ronald D. Forbes,./record/22521?highlight=*:*
Putto with a fish,Unknown,./record/20540?highlight=*:*
Untitled (1968),Maureen Purcell,./record/22504?highlight=*:*
Standing Female Nude (21 FEB 1956),Sheena McEwan,./record/20901?highlight=*:*
"A PHP Error was encountered Severity: Warning Message: Undefined array key ""dctitleen"" Filename: views/search_results.php Line Number: 98 A PHP Error was encountered Severity: Warning Message: Trying to access array offset on null Filename: views/search_results.php Line Number: 98 (1965)",Frances Sander,./record/99525?highlight=*:*
Teapot,Janet Gillies,./record/122543?highlight=*:*
Portrait of a Young Man (1960),Ann Macmillan,./record/20988?highlight=*:*
Small relief of a lady in a wimple,Unknown,./record/20612?highlight=*:*
Sleeping Female Nude (1948),James W. H. Cumming,./record/122866?highlight=*:*
Unknown (1985),Sarah Setchfield,./record/50432?highlight=*:*
Figures and Shadows,Unknown,./record/22645?highlight=*:*
Untitled (10 JAN 1961),John Picking,./record/111037?highlight=*:*
Jug (1920s),Emma Gillies,./record/122134?highlight=*:*
Abstract with Crescent in Turquoise and Blue (Circa 1962),James T Carlyle,./record/20760?highlight=*:*
Girl in a Mask (Unknown),Cecil Collins,./record/21681?highlight=*:*
Untitled (1953),Nil Bjorklund,./record/21685?highlight=*:*
Standing Female Nude (1953),Iain West,./record/20782?highlight=*:*
Cello playing Clown (Circa 1965),William Gillon,./record/21311?highlight=*:*
Fossil Life (1984),Wendy McMurdo,./record/21883?highlight=*:*
Untitled (1966-1967),James H. Fairgrieve,./record/99386?highlight=*:*
Untitled (1997),BORIS JOERI BRINK,./record/21985?highlight=*:*
Untitled (1968),Gerard McGeary,./record/22006?highlight=*:*
Seated and Standing Nudes (1959-1962),F. Milner,./record/99365?highlight=*:*
Portrait of a Woman (1956),John Sprakes DA (Edinburgh) PG (Edinburgh) ROI RBA MAFA,./record/21184?highlight=*:*
Highstreet Harlesden (1964-1965),Gordon Bryce,./record/99282?highlight=*:*
Seated Female Nude (1960s),Irene Scott,./record/21283?highlight=*:*
Untitled,Unknown,./record/102671?highlight=*:*
Standing Female Nude with a Stool (1959),Bruce Clapperton,./record/20912?highlight=*:*
Portrait of a Young Woman (1960),John Kerr,./record/20986?highlight=*:*
Untitled (1947),Esther W. Hamilton,./record/21731?highlight=*:*
Woman with Child and Still Life (1938),Catherine I. McIvor,./record/22512?highlight=*:*
Head Monotype No. 24 (1959),Alan M. Alexander,./record/50592?highlight=*:*
Victory (07 Jul 1946),Zygmunt Bukowski,./record/21322?highlight=*:*
Unknown (1947),Mabel D. Lawford,./record/50534?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,./record/20726?highlight=*:*
Untitled (1966),Forde,./record/22476?highlight=*:*
Little Bird (1985),Robert Adam,./record/21622?highlight=*:*
Seated Female Nude on Yellow Spread (Circa 1950),Thomas E. Clapperton,./record/122747?highlight=*:*
Dark Room with Blue Wall and Picture,Elizabeth Gourlay,./record/22539?highlight=*:*
Unknown (1950),George Roderick Carmichael,./record/50567?highlight=*:*
Woman in Fish Net,Unknown,./record/22537?highlight=*:*
Unknown (Unknown),Unknown,./record/21675?highlight=*:*
Woman with Pink Hair (1987),Henry Rogers,./record/21476?highlight=*:*
Bowl (1920s),Emma Gillies,./record/122130?highlight=*:*
Untitled (1967),Gwen Mackenzie,./record/21755?highlight=*:*
Untitled (1991),Joanna [Coffin?],./record/21871?highlight=*:*
Unknown (Unknown),Unknown,./record/21859?highlight=*:*
Portrait of Seated Woman (1965),William Gillon,./record/21343?highlight=*:*
Portrait of a Woman (1959),Barbara Strachan,./record/20869?highlight=*:*
Peets (1963),Deborah Eadie,./record/21754?highlight=*:*
Unknown (1953),D. Gordon Campbell,./record/53549?highlight=*:*
Peacock Study (1962-1963),Lesley M. Johns,./record/99331?highlight=*:*
For Sanfrancisco (Unknown),Andrew Arnott,./record/21606?highlight=*:*
Still Life with Button Mushrooms (1962),James T Carlyle,./record/122857?highlight=*:*
Portrait of a Woman (1958),Dorothy Durward,./record/20954?highlight=*:*
Untitled - Portrait of Woman in Profile (1963),Gordon Bryce,./record/99327?highlight=*:*
Untitled (Unknown),Unknown,./record/21610?highlight=*:*
Side Plate,Emma Gillies,./record/53615?highlight=*:*
Homage to Ernest Hemingway (Circa 1967),Michael Docherty,./record/20750?highlight=*:*
Untitled,Gwyneth Duff,./record/112450?highlight=*:*
Untitled (Unknown),Simon Yuill,./record/21638?highlight=*:*
Seated Male Nude,Unknown,./record/21509?highlight=*:*
Unknown (1950),John W. Corner,./record/50521?highlight=*:*
Untitled (1969),Moira Johnson,./record/22021?highlight=*:*
Fragment of ornament (right angle with foliage),Unknown,./record/20564?highlight=*:*
Untitled (2003),Gillian Curry,./record/99927?highlight=*:*
Ergastines from East Frieze of the Parthenon,NA,./record/20686?highlight=*:*
Grey Landscape (1962),Robert S. Crozier,./record/99797?highlight=*:*
Plate (1920s),Emma Gillies,./record/53714?highlight=*:*
Edinburgh College of Art Main Building,Takahiro Iwasaki,./record/53473?highlight=*:*
Portrait of a Woman with Red Hair (1963),Roger Cameron,./record/21320?highlight=*:*
Untitled,Peter Picket,./record/112449?highlight=*:*
Jag Drӧmmer (2006),Marjie Harlick,./record/99869?highlight=*:*
Study for Disaster Painting 2 (2024),Esther Forse,./record/123747?highlight=*:*
Untitled (2002),Lindsey Edghill,./record/99924?highlight=*:*
Crow (2007),Katie Devenish,./record/99892?highlight=*:*
Horses from South Frieze of the Parthenon (1836-1837),NA,./record/20732?highlight=*:*
Black and White Abstract (1956),Eric Ritchie,./record/20802?highlight=*:*
Portrait of a Standing Woman (1950),Edward Stratton,./record/20825?highlight=*:*
Unknown (1946),Allan Lefley,./record/50487?highlight=*:*
Portrait of a Man (1939-1940),James Gordon,./record/21096?highlight=*:*
Rebecca Crompton tray,Rebecca Crompton,./record/102696?highlight=*:*
Self Portrait,Claudia Petretti,./record/122706?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),NA,./record/20668?highlight=*:*
Unknown (1949),Shand C. Hutchison,./record/50530?highlight=*:*
Autumn (1962),Robert S. Crozier,./record/112310?highlight=*:*
Portrait of a Girl in Shirt and Tie (1962),Jean M. A. Conacher,./record/122809?highlight=*:*
Self Portrait (1956),Rose Rifat,./record/21189?highlight=*:*
"Lloret de Mar, Costa Brava (1958)",Joan F. Biggins,./record/50614?highlight=*:*
Yellow Hearted Man in Hat*,Unknown,./record/122789?highlight=*:*
Male Figure in Black Shaft and Household Appliances (Circa 1989),Paul Rooney,./record/22520?highlight=*:*
Bournemouth (Rock Roses Out) (1966),Kathleen Russell,./record/99523?highlight=*:*
Untitled (Unknown),Derek McGuire,./record/21912?highlight=*:*
Standing Woman (1950),John Parnell,./record/21067?highlight=*:*
Seated Female Nude (1959),John O'Neill,./record/21155?highlight=*:*
Tajna Crne Ruke (1983),Boris Bućan,./record/22030?highlight=*:*
Unknown,Unknown,./record/53552?highlight=*:*
House and Garden,Colin Campbell,./record/21435?highlight=*:*
2122 Pieces (Nov 2007),Matt Carter,./record/21812?highlight=*:*
Portrait of a Woman Standing (1957),Rosemary Bagshawe,./record/21221?highlight=*:*
Portrait of a Young Woman Sketching (1959),Denness Morton,./record/20887?highlight=*:*
Crouching Venus (1834),Sarti,./record/20572?highlight=*:*
Portrait (1976),Alison J. Michie,./record/122714?highlight=*:*
Untitled - Two Women (1961),Gavin Waddell,./record/99455?highlight=*:*
The Bone Orchard,Alastair Flattely,./record/21498?highlight=*:*
Seated Female Nude on Chair (Unknown),Kirkland Main,./record/123770?highlight=*:*
3 Paps of Jura (Unknown),Catherine Orbach,./record/21981?highlight=*:*
Untitled (2014),Layla Kerley,./record/47454?highlight=*:*
Espresso Saucer (1920s),Emma Gillies,./record/53680?highlight=*:*
Unknown (1950-1951),Valerie A. Cockburn (Gage),./record/50557?highlight=*:*
Candle and Shell at Sea* (1987),Donald Clark,./record/22729?highlight=*:*
Bow of Fishing Boat (1969),John H McKerrell,./record/99356?highlight=*:*
Abstract Male Nude in Landscape (1965),William Gillon,./record/21313?highlight=*:*
Life Float and Boat,Ashley McCormick,./record/21478?highlight=*:*
House in a Landscape,Unknown,./record/21501?highlight=*:*
Skeleton and Flowers (1958-1959),Peter Standen,./record/20794?highlight=*:*
Unknown (1938),Betty M. Ferguson,./record/53522?highlight=*:*
Untitled (1981),Jo de Pear,./record/21922?highlight=*:*
Seated Male Nude (1950s),John Houston,./record/21044?highlight=*:*
Standing Male Nude (1958),Richard McNeill,./record/20892?highlight=*:*
Female Portrait (verso),John Whittaker,./record/22739?highlight=*:*
Milk Jug (1920s),Emma Gillies,./record/53677?highlight=*:*
Seated Male (1955-1956),Eric Ritchie,./record/20801?highlight=*:*
Untitled (1965),Laura McPherson,./record/99390?highlight=*:*
Untitled,Derek Reid,./record/22725?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,./record/20700?highlight=*:*
Mallia (1967),Isobel T Johnstone,./record/99254?highlight=*:*
Unknown (1964),Helen Cargill,./record/50500?highlight=*:*
Monochrome Cityscape (Circa 1976),Martin Churchill,./record/22586?highlight=*:*
On Beinn na Lice (Unknown),Hazel Holmes,./record/21943?highlight=*:*
Plate (1920s),Emma Gillies,./record/53712?highlight=*:*
Seated Female Nude (1957),Colin Turner,./record/20966?highlight=*:*
Untitled - Street View of Rooftops and Chimneys (1967-1968),Eileen E M Lawrence,./record/99260?highlight=*:*
Abstract Composition in Black and Green (Circa 1967),George M. Donald,./record/122834?highlight=*:*
West Frieze of the Parthenon (1836-1837),NA,./record/20673?highlight=*:*
Unknown (1974),Richard Wiatrek,./record/50394?highlight=*:*
Untitled (1969),James Fleming,./record/22491?highlight=*:*
Portrait of a Man (1959),Grace Nichol,./record/21119?highlight=*:*
Untitled - Figure Drawing of Semi-Nude Male with Water Jug (1964),Gordon Bryce,./record/99284?highlight=*:*
West Frieze of the Parthenon (1836-1837),NA,./record/20675?highlight=*:*
Drawing of Monaghan (1955),Edith Duke,./record/21217?highlight=*:*
Italian quilting in frame,Unknown,./record/102666?highlight=*:*
Landscape (1968),Alison Hutton,./record/21272?highlight=*:*
Unknown (1981),Hazel McGlashan,./record/50416?highlight=*:*
Untitled (1967),Kirkland Main,./record/21872?highlight=*:*
"Still Life with Jug of Flowers, Goblet and Fruit",Sir William George Gillies,./record/20753?highlight=*:*
A Cup Of Wine Together Will Make Us Glad- And A Little Friendship Is No Little Matter (1985),Elaine M. Stenning,./record/99334?highlight=*:*
Unknown (JUN 1987),Hazel Sutherland,./record/53606?highlight=*:*
"Trawlers, Granton Harbour (1951)",John W. Corner,./record/21829?highlight=*:*
Unknown (1950),James T. Ferguson,./record/53498?highlight=*:*
Milkweed (1952),Margaret Lowengrund,./record/21676?highlight=*:*
Untitled (2002),Michelle Samour,./record/99941?highlight=*:*
Unknown,Zygmunt Bukowski,./record/53559?highlight=*:*
Untitled - Five Miners (1963),Felicity J Bostock,./record/99372?highlight=*:*
"St. Martins Bridge, Toledo (Unknown)",William Wilson,./record/21775?highlight=*:*
Untitled (Unknown),Catherine Temple,./record/21605?highlight=*:*
Untitled (Unknown),Frank Thomson,./record/21717?highlight=*:*
Untitled (1983),Robert Rivers,./record/99809?highlight=*:*
Saucer,Emma Gillies,./record/53658?highlight=*:*
Teacup,Emma Gillies,./record/53643?highlight=*:*
Seated Female Nude (1959),W Bryden,./record/21107?highlight=*:*
Untitled (Unknown),Unknown,./record/21709?highlight=*:*
Untitled (1986),Dorothy Black,./record/21588?highlight=*:*
Seated Female Nude,Lucy Bowman,./record/21443?highlight=*:*
Portrait of a Woman (1959),Jean I. Beattie,./record/20918?highlight=*:*
Untitled,Brian Caster,./record/112345?highlight=*:*
Standing Female Nude (1952),Douglas Kerr,./record/21224?highlight=*:*
Coronation Jug (1953),Mollie E N Langlands,./record/22507?highlight=*:*
Still Life with Fish (1961),Jean M. A. Conacher,./record/22723?highlight=*:*
Untitled (1960),Elizabeth M. Hansen,./record/99839?highlight=*:*
Thanks for Help and Support (JUN 2002),Sabine Lechner,./record/21878?highlight=*:*
Cushion,Winsome Douglass,./record/113831?highlight=*:*
Portrait of a Young Woman (1965),Irene Scott,./record/21292?highlight=*:*
Untitled (1960),Robert L Snowden,./record/21539?highlight=*:*
Portrait of a Man with a Beard (1959),Alan Kemp,./record/20903?highlight=*:*
Four Prints (2007),Paul Laidler,./record/99965?highlight=*:*
Untitled (1965),Laura McPherson,./record/22482?highlight=*:*
The Deposition (Circa 1966),Roy M. W. Cameron,./record/22605?highlight=*:*
Seated Woman holding Hat (Jun 1961),John Bellany,./record/20768?highlight=*:*
Sitting Man (Circa 1966),George M. Donald,./record/122840?highlight=*:*
West Frieze of the Parthenon (1836-1837),NA,./record/20665?highlight=*:*
Unknown (1981-1985),Lindsay Marshall,./record/53564?highlight=*:*
Standing Male Nude (1939-1940),James H Donaldson,./record/21124?highlight=*:*
Jug (1920s),Emma Gillies,./record/122540?highlight=*:*
Seated Female Nude (1954),Edith Fraser,./record/21249?highlight=*:*
Untitled (Unknown),Moyna Flannigan,./record/21933?highlight=*:*
Seated Female Nude (1939-1940),Robert A Campbell,./record/21128?highlight=*:*
Seated Woman in Blanket (1965),William Gillon,./record/21325?highlight=*:*
The Three Tyches,Unknown,./record/20533?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,./record/20727?highlight=*:*
Rockpools,Rosemary Reid,./record/20762?highlight=*:*
Seated Female Nude (Circa 1953),Fiona M Mouat,./record/122824?highlight=*:*
Standing Male Nude (1952),Adam Robson,./record/20810?highlight=*:*
Small armorial panel (Unknown),Unknown,./record/20613?highlight=*:*
Dining Table,John Houston,./record/21045?highlight=*:*
Notations: Edinburgh (2017),India Elizabeth Cawley Gelling,./record/100016?highlight=*:*
The Etiquette of Landscape and Face: Passage 1 (2015),Leonie Neuweger,./record/53781?highlight=*:*
Metope 3 from entablature of the Parthenon (1837),NA,./record/20640?highlight=*:*
Ayrshire christening robe (1800-1899),Unknown,./record/102680?highlight=*:*
Camp II (1982),Reinhard Behrens,./record/99465?highlight=*:*
Unknown (1948),William D Clyne,./record/50578?highlight=*:*
Untitled (2007),Johan Wahlgren,./record/99980?highlight=*:*
Portrait of the sad bed (2002),Jan Vaibaraite,./record/99989?highlight=*:*
Abstract Composition in White with Circle (1989),Linda A. Henniker,./record/22514?highlight=*:*
Replica cast of Partheon frieze GE32,Unknown,./record/20654?highlight=*:*
Seated Female Nude,Euan Gray,./record/122854?highlight=*:*
Couple with Chauffer and Limousine (1964),William M. McG. Gillon,./record/122684?highlight=*:*
Untitled,Roy M. W. Cameron,./record/112350?highlight=*:*
Goat (1920s),Emma Gillies,./record/53746?highlight=*:*
Cryptogam (1991),Unknown,./record/21794?highlight=*:*
Splashes on Dark (1995),Robert Eaglesham,./record/122721?highlight=*:*
Kneeling Male Nude (1953),Peter Brady,./record/20967?highlight=*:*
View of Edinburgh Castle,Unknown,./record/122763?highlight=*:*
Seated Female with Red Cape (1953),Mary C. A. Edmond,./record/123110?highlight=*:*
Unknown (1957),Peter Crorkin,./record/50509?highlight=*:*
Standing Female Nude (1948),Victorine Anne Schilsky,./record/20833?highlight=*:*
Self Portrait (1947),Marjorie Wallace,./record/50441?highlight=*:*
"Head of a Young Girl, 1465 (Unknown)",Unknown,./record/20570?highlight=*:*
Two Women,J Nicoll,./record/21473?highlight=*:*
Portrait of Two Heads (1952),Ian Lawson,./record/21015?highlight=*:*
Jug (1920s),Emma Gillies,./record/122539?highlight=*:*
Portrait of a Bearded Man with Bow Tie,Unknown,./record/22611?highlight=*:*
Seated Female Nude (1959),R Williamson,./record/20951?highlight=*:*
Male Model Sitting (1965),Sandra E. Millar,./record/122743?highlight=*:*
Gothic figure of a deacon,NA,./record/20604?highlight=*:*
Making the World Safe for Capitalism (Unknown),Kenny Grant,./record/21819?highlight=*:*
___ in Rosyth the Leaf Skeletons Lay on the Pitch,Sylvia Mackiewicz,./record/21559?highlight=*:*
Mythological Landscape (diptych) (1990),Robert Euman,./record/22577?highlight=*:*
Bust of the Prima Porta Augustus Caesar (Post 1863),Unknown,./record/20549?highlight=*:*
Unknown (1952),Rosemary Bagshaw,./record/53516?highlight=*:*
Unknown (Circa 1890),Unknown,./record/50463?highlight=*:*
Untitled,Kathleen Russell,./record/99524?highlight=*:*
Chimneypiece from a house in Le Mans,Unknown,./record/20553?highlight=*:*
Barcelona Suite (Circa 1974),Gavin Robson,./record/122894?highlight=*:*
Seated Male Nude (Sean Connery) (1952),Ian Lawson,./record/21418?highlight=*:*
Farmer with Scythe (1950s),John Houston,./record/21048?highlight=*:*
Replica cast (brown) of Partheon slab PF045 US09,Unknown,./record/20658?highlight=*:*
Head of Lorenzo de' Medici (Circa 1836),Aristodemo Costoli,./record/20541?highlight=*:*
Nude in Studio Interior (1896),Samuel John Peploe,./record/20739?highlight=*:*
Untitled (JUN 1993),Norman Ackroyd,./record/21798?highlight=*:*
Welshness Interviews (2022-2023),Ffion Williams,./record/123693?highlight=*:*
Fragments #1 (1990),Robert Euman,./record/22639?highlight=*:*
Reclining Woman (1950),Thomas Murray,./record/21072?highlight=*:*
Portrait of a Girl in a White Cardigan,Nita Newman,./record/122712?highlight=*:*
Portrait of a Woman (1957),Unknown,./record/21257?highlight=*:*
Female Nude Adjusting Shoe (Recto)/ Seated Female Nude (Verso) (1948),John Thompson,./record/20843?highlight=*:*
Portrait of a Man (Side View) (1958),Peter Standen,./record/20864?highlight=*:*
Standing Nude (1952),Mollie E N Langlands,./record/21018?highlight=*:*
Unknown (1960),Vivien Alexander,./record/50626?highlight=*:*
Portrait of a Young Man (recto) (1951),Alistair M Park,./record/122685?highlight=*:*
Untitled,Unknown,./record/102727?highlight=*:*
Simon and Simon (1986),Amanda Lebus,./record/21585?highlight=*:*
'Heroes' and 'Gods' East Frieze of the Parthenon (1836-1837),NA,./record/20682?highlight=*:*
Still Life with Slice of Melon (1957),Alexander S Campbell,./record/122916?highlight=*:*
Untitled (11 May 1962),John Nelson,./record/21643?highlight=*:*
Abstract Composition with Blue Stripes (1969),Ian G. Robertson,./record/22562?highlight=*:*
Shouting Boys,Karol Prentice,./record/22573?highlight=*:*
Altarpiece of the Coronation of the Virgin,Unknown,./record/20563?highlight=*:*
Untitled (1963),Iona Murray,./record/99403?highlight=*:*
Portrait of a Young Man Poised to Throw,James P W Syme,./record/20838?highlight=*:*
Man (Circa 1977),Alfons Bytautas,./record/122795?highlight=*:*
Lovers and birds (1963),Norman Thom,./record/99418?highlight=*:*
Espresso Saucer (1920s),Emma Gillies,./record/53687?highlight=*:*
Untitled (1962),F. Milner,./record/21761?highlight=*:*
Unknown (1950),Alastair Flattely,./record/50585?highlight=*:*
Standing Male Nude (Circa 1952),John Houston,./record/21350?highlight=*:*
Reclining Nude (1952),James P W Syme,./record/20840?highlight=*:*
Standing Female Nude (1949),Zygmunt Bukowski,./record/22516?highlight=*:*
Life Study of Two Nude Models,Scott Lauder,./record/122698?highlight=*:*
View of a Caravan (1990s),Peter McGoldrick,./record/21427?highlight=*:*
Masked Divers,Robin S. Taylor,./record/22683?highlight=*:*
Portrait of a Woman (1956),John Sprakes DA (Edinburgh) PG (Edinburgh) ROI RBA MAFA,./record/21191?highlight=*:*
Unknown (1901),George Bain,./record/50457?highlight=*:*
Coffee Pot (1920s),Emma Gillies,./record/53691?highlight=*:*
Landscape (1952),James P W Syme,./record/20839?highlight=*:*
Seated Male Nude (1959),Denness Morton,./record/21079?highlight=*:*
Carnival Man*,Leonard I. H. Gray,./record/122847?highlight=*:*
Untitled (Unknown),Unknown,./record/99858?highlight=*:*
Unknown (1958),Andrew P. W. Conkie,./record/50524?highlight=*:*
Untitled (2007),Patricio Esteban Briceno,./record/99964?highlight=*:*
Seated Female Nude (1954),Robert Fraser,./record/21242?highlight=*:*
Untitled - Sitting Figure (1992),Victoria A. James,./record/99462?highlight=*:*
Music is art that colour your life with feelings (1999),Rumi Augusta Nogua,./record/102742?highlight=*:*
Miners (Circa 1949),Zygmunt Bukowski,./record/21369?highlight=*:*
Birds & Peonies (2002),Asuka Ohsawa,./record/99940?highlight=*:*
Untitled (2014),Rachel Hill,./record/47449?highlight=*:*
Untitled (1991-1992),Kate McKenzie,./record/21934?highlight=*:*
Standing Male Nude (1964),Kirkland Main,./record/122720?highlight=*:*
Untitled (1963),W. Douglas,./record/21768?highlight=*:*
Unknown,Elizabeth Blackadder,./record/50636?highlight=*:*
Untitled (Unknown),Unknown,./record/99908?highlight=*:*
Mythological Landscape (diptych) (1990),Robert Euman,./record/122910?highlight=*:*
Untitled (Circa 1960),Robert L Snowden,./record/21545?highlight=*:*
Untitled (20 Feb 2014),David C Duke,./record/21989?highlight=*:*
Untitled (Unknown),Unknown,./record/21778?highlight=*:*
Still Life with Doll (Circa 1975),Rona C. S. Anderson,./record/122893?highlight=*:*
Still Life with Glass Jug (1956),Andrew Smith,./record/122922?highlight=*:*
Seated Woman with Hand on Hip (1956-1959),Jacqueline A N Stieger,./record/20819?highlight=*:*
Portrait of a Woman (1958),Peter Stitt,./record/20958?highlight=*:*
Child's chinese headdress,Unknown,./record/102677?highlight=*:*
Unknown (1948),Eric Forrest,./record/50586?highlight=*:*
Bust of Queen Nefertiti (Coloured) (Unknown),Unknown,./record/20621?highlight=*:*
Untitled (Unknown),Unknown,./record/21573?highlight=*:*
Unknown (1960),John Gilbert,./record/53491?highlight=*:*
Skeletal Face with Long Hair (1985-1986),Graeme Murray,./record/99335?highlight=*:*
Seated Female Nude (1953),Andrew Restall,./record/20946?highlight=*:*
Woman in a Blue Background,Ian Paterson,./record/22696?highlight=*:*
Female Nude,Nicola Green,./record/122884?highlight=*:*
Untitled,Barbara Walton,./record/123509?highlight=*:*
Unknown (1947-1948),Marjorie Wallace,./record/50449?highlight=*:*
